test,used,usr,read,writ,acc,time
e1-b512,894061288.73 +/- 239838668.10,75.98 +/- 30.61,94.08 +/- 304.71,120790.67 +/- 307809.58,0.75 +/- 0.03,409.55 +/- 8.83
e10-b512,1011119876.20 +/- 152533369.60,80.59 +/- 16.06,3243.97 +/- 44714.66,102615.36 +/- 196056.94,0.91 +/- 0.00,4828.25 +/- 38.26
e5-b512,981252608.00 +/- 168526044.98,82.64 +/- 16.47,986.51 +/- 10138.69,114881.65 +/- 226707.78,0.85 +/- 0.03,2197.95 +/- 38.40
e1-b1024,888036010.67 +/- 241379425.07,77.27 +/- 32.01,3804.45 +/- 16962.85,106356.08 +/- 274099.34,0.60 +/- 0.02,388.95 +/- 9.95
e10-b1024,1082572671.43 +/- 159230165.01,83.34 +/- 15.41,10444.46 +/- 103121.54,113113.23 +/- 213082.66,0.88 +/- 0.03,4422.14 +/- 67.89
e5-b1024,993251209.85 +/- 168547159.75,85.07 +/- 16.64,48.91 +/- 242.00,107435.70 +/- 206281.19,0.83 +/- 0.01,2044.86 +/- 28.45
e1-b128,896269750.86 +/- 221342933.41,70.98 +/- 25.47,41018.51 +/- 216648.37,175284.75 +/- 669459.18,0.86 +/- 0.00,540.34 +/- 12.43
e10-b128,1005914179.15 +/- 146499312.06,70.35 +/- 15.38,1125.93 +/- 10562.36,72531.78 +/- 161033.47,0.91 +/- 0.00,7296.73 +/- 68.94
e5-b128,973513721.48 +/- 165789265.91,73.26 +/- 15.36,2492.99 +/- 30922.75,89626.73 +/- 189488.20,0.90 +/- 0.00,3105.42 +/- 67.78
e1-b256,892562964.48 +/- 229250291.63,74.52 +/- 27.94,82.80 +/- 286.78,55087.58 +/- 148662.59,0.84 +/- 0.01,459.94 +/- 17.17
e10-b256,1001978716.75 +/- 150397494.66,76.82 +/- 16.41,1230.91 +/- 12612.94,90972.91 +/- 180552.42,0.91 +/- 0.00,5492.93 +/- 96.77
e5-b256,972448173.42 +/- 166160984.17,79.40 +/- 16.64,1260.99 +/- 13293.83,99581.26 +/- 183344.82,0.90 +/- 0.00,2445.73 +/- 73.20
