test,used,usr,recv,send,read,writ,acc,time
e1-b128,820920623.41 +/- 132045401.46,72.31 +/- 26.89,7538.35 +/- 38626.83,263.75 +/- 908.95,47003.71 +/- 213658.16,76670.49 +/- 381274.95,0.92 +/- 0.00,494.41 +/- 2.37
e10-b128,928842615.47 +/- 80465088.37,77.29 +/- 10.67,27.32 +/- 11.01,1.80 +/- 13.29,33.58 +/- 258.69,549.85 +/- 1854.27,0.98 +/- 0.00,3532.55 +/- 40.12
e5-b128,878950400.00 +/- 81957293.30,76.38 +/- 14.41,26.21 +/- 5.06,0.87 +/- 1.77,1556.10 +/- 13926.26,766.81 +/- 2483.80,0.98 +/- 0.00,1828.31 +/- 5.85
e1-b256,826258832.70 +/- 147459183.60,74.76 +/- 29.94,26.18 +/- 16.47,4.63 +/- 12.91,5353.51 +/- 24364.78,2446.81 +/- 4677.01,0.89 +/- 0.00,398.73 +/- 7.17
e10-b256,918550966.86 +/- 91749782.40,76.75 +/- 13.82,26.25 +/- 4.66,0.77 +/- 1.74,66.10 +/- 333.38,683.36 +/- 2288.70,0.98 +/- 0.00,2193.84 +/- 5.87
e5-b256,869771072.00 +/- 97263481.77,76.47 +/- 17.98,27.83 +/- 18.75,3.73 +/- 24.35,756.98 +/- 3169.96,2326.42 +/- 8338.89,0.96 +/- 0.00,1214.32 +/- 14.51
e5-b512,913402643.69 +/- 83566811.25,87.94 +/- 15.28,26.37 +/- 4.88,0.96 +/- 2.01,58.19 +/- 339.26,721.68 +/- 2382.81,0.94 +/- 0.00,2008.27 +/- 11.03
e1-b512,844104741.93 +/- 142411099.85,79.81 +/- 28.87,23.92 +/- 8.69,0.59 +/- 1.18,1898.05 +/- 8567.72,2561.05 +/- 5041.35,0.83 +/- 0.00,483.77 +/- 8.47
e10-b512,958957537.43 +/- 79478351.14,89.33 +/- 11.04,26.62 +/- 3.66,0.83 +/- 1.82,42.97 +/- 280.54,552.71 +/- 1802.20,0.97 +/- 0.00,3942.88 +/- 45.74
e1-b1024,906297173.33 +/- 179324932.08,78.41 +/- 30.44,23.77 +/- 9.40,1.05 +/- 2.45,252.27 +/- 681.84,2347.58 +/- 4589.25,0.72 +/- 0.00,408.57 +/- 3.33
e10-b1024,949276541.97 +/- 95736237.40,85.88 +/- 13.55,31.02 +/- 30.61,5.44 +/- 28.94,50.00 +/- 308.13,777.61 +/- 2313.15,0.94 +/- 0.00,2462.32 +/- 12.52
e5-b1024,911026718.12 +/- 104906890.02,84.55 +/- 18.41,25.72 +/- 5.69,0.64 +/- 1.30,96.97 +/- 420.57,1005.10 +/- 2901.36,0.91 +/- 0.00,1300.59 +/- 11.02
