test,used,usr,read,writ,acc,time
e1-b128,480740693.33 +/- 7738256.10,1.45 +/- 0.02,419.82 +/- 0.13,2711.83 +/- 0.85,0.96 +/- 0.00,19.23 +/- 0.37
e1-b256,481524394.67 +/- 7801021.35,1.45 +/- 0.02,419.81 +/- 0.13,2711.85 +/- 0.82,0.95 +/- 0.00,13.51 +/- 0.55
e1-b512,481569450.67 +/- 7624109.97,1.45 +/- 0.02,419.81 +/- 0.13,2711.86 +/- 0.82,0.94 +/- 0.00,11.76 +/- 0.45
e1-b1024,481367381.33 +/- 7905976.43,1.45 +/- 0.02,419.81 +/- 0.13,2711.88 +/- 0.82,0.93 +/- 0.00,10.78 +/- 0.62
e5-b128,780157610.67 +/- 327159815.60,33.64 +/- 35.26,209.90 +/- 229.94,4417.98 +/- 1871.80,0.98 +/- 0.00,71.38 +/- 2.64
e5-b256,632074240.00 +/- 300658168.55,18.44 +/- 33.98,314.85 +/- 209.90,2857.43 +/- 290.96,0.98 +/- 0.00,53.26 +/- 2.49
e5-b512,481817941.33 +/- 7603019.36,1.46 +/- 0.02,419.79 +/- 0.13,2711.98 +/- 0.81,0.97 +/- 0.00,46.49 +/- 1.32
e5-b1024,481710080.00 +/- 7797141.34,1.46 +/- 0.02,419.78 +/- 0.13,2712.00 +/- 0.80,0.97 +/- 0.00,42.21 +/- 0.95
e10-b128,880883029.33 +/- 299292600.21,44.65 +/- 32.41,519.18 +/- 1104.17,6327.42 +/- 7988.88,0.98 +/- 0.00,146.81 +/- 2.58
e10-b256,783938218.67 +/- 328736377.33,35.86 +/- 37.68,209.89 +/- 229.92,3387.07 +/- 743.94,0.98 +/- 0.00,106.95 +/- 2.27
e10-b512,788821333.33 +/- 334077321.05,38.15 +/- 40.19,209.88 +/- 229.91,4170.73 +/- 2267.07,0.98 +/- 0.00,86.04 +/- 2.83
e10-b1024,796956672.00 +/- 342918882.82,39.62 +/- 41.79,209.87 +/- 229.90,3099.84 +/- 683.07,0.98 +/- 0.00,75.54 +/- 2.16
