test,used,usr,read,writ,acc,time
e1-b128,611501397.33 +/- 21050811.83,1.01 +/- 0.05,1607.94 +/- 15.02,10063.19 +/- 96.19,0.41 +/- 0.04,40.41 +/- 0.55
e10-b128,770368625.78 +/- 76059225.89,44.81 +/- 20.16,268.81 +/- 618.51,2223.58 +/- 3696.76,0.66 +/- 0.03,322.71 +/- 13.31
e5-b128,733223594.67 +/- 98904795.09,35.84 +/- 26.13,659.10 +/- 797.72,6180.94 +/- 4555.94,0.72 +/- 0.02,168.24 +/- 6.35
e1-b256,609740117.33 +/- 18769560.27,1.01 +/- 0.05,1607.92 +/- 15.02,10063.16 +/- 96.18,0.55 +/- 0.03,42.98 +/- 1.25
e10-b256,777255594.67 +/- 79705454.59,45.15 +/- 20.33,268.78 +/- 618.44,2395.98 +/- 3621.02,0.56 +/- 0.14,311.66 +/- 11.83
e5-b256,739363043.56 +/- 99666473.06,36.10 +/- 26.33,537.71 +/- 806.57,5106.59 +/- 4060.17,0.49 +/- 0.06,159.83 +/- 3.55
e5-b512,739142769.78 +/- 100234426.37,37.08 +/- 27.07,537.68 +/- 806.53,4467.40 +/- 4303.51,0.56 +/- 0.09,166.87 +/- 3.69
e1-b512,610245290.67 +/- 19563759.38,1.01 +/- 0.05,1607.90 +/- 15.02,10063.10 +/- 96.07,0.65 +/- 0.08,50.67 +/- 0.47
e10-b512,780613176.89 +/- 82790910.88,46.60 +/- 21.04,268.75 +/- 618.38,2296.74 +/- 3724.24,0.53 +/- 0.07,317.05 +/- 9.72
e1-b1024,812105045.33 +/- 221228885.00,33.92 +/- 36.05,803.94 +/- 880.72,6331.41 +/- 4094.98,0.60 +/- 0.03,70.86 +/- 1.08
e10-b1024,809175040.00 +/- 117926986.13,47.99 +/- 21.87,283.90 +/- 614.68,2757.85 +/- 3791.04,0.52 +/- 0.09,322.28 +/- 10.38
e5-b1024,810252970.67 +/- 150261119.22,46.07 +/- 27.99,403.24 +/- 729.49,3778.52 +/- 3998.09,0.47 +/- 0.07,182.94 +/- 1.15
